ACADEMIC YEAR , SEM, COURSE NAME , COURSE TITLE , DEPT , INSTRUCTOR NAME, REGIST, DETAILS
2010-11 , 2 ,AE100 ,INTRODUCTION TO PROFESSION , AE ,SUDHIR KAMLE,47,Click for details
2010-11 , 2 ,AE211 ,AERODYNAMICS I , AE ,T K SENGUPTA,43,Click for details
2010-11 , 1 ,AE231 ,ELEMENTS OF VIBRATION , AE ,D YADAV,43,Click for details
2010-11 , 2 ,AE232 ,AIRCRAFT STRUCTURES - I , AE ,RAJESH KITEY,42,Click for details
2010-11 , 2 ,AE312 ,AERODYNAMICS-II , AE ,B ESHPUNIYANI,32,Click for details
2010-11 , 1 ,AE321 ,FLIGHT MECHANICS - I , AE ,A TIWARI,32,Click for details
2010-11 , 2 ,AE322 ,FLIGHT MECHANICS-II , AE ,A TEWARI,34,Click for details
2010-11 , 1 ,AE331 ,EXPERIMENTS IN STRUCTURES , AE ,R KITEY,31,Click for details
2010-11 , 2 ,AE332 ,AEROSPACE STRUCTURES-II , AE ,S MAHESH,33,Click for details
2010-11 , 1 ,AE341 ,PROPULSION - I , AE ,R K SULLERY,29,Click for details
2010-11 , 2 ,AE342 ,PROPULSION-II , AE ,A KUSHARI,34,Click for details
2010-11 , 1 ,AE361 ,AEROMODELLING DESIGN & FABRICATION , AE ,C S UPADYAY,32,Click for details
2010-11 , 1 ,AE411 ,EXPERIMENTS IN AERODYNAMICS , AE ,E RATHAKRISHNAN,33,Click for details
2010-11 , 2 ,AE422 ,EXPERIMENTS IN FLIGHT MECHANICS , AE ,A K GHOSH,28,Click for details
2010-11 , 1 ,AE461 ,AIRCRAFT DESIGN-I , AE ,A K GHOSH,27,Click for details
2010-11 , 2 ,AE462 ,AIRCRAFT DESIGN-II , AE ,C S UPADHYAY,27,Click for details
2010-11 , 1 ,AE471 ,PROJECT-I , AE ,CONVENOR DUGC,16,Click for details
2010-11 , 1 ,AE472 ,PROJECT-II , AE ,CONVENER DUGC,1,Click for details
2010-11 , 2 ,AE472 ,PROJECT-II , AE ,CONVENER DUGC,14,Click for details
2010-11 , 3 ,AE472 ,PROJECT-II , AE ,CONVENER DUGC,1,Click for details
2010-11 , 1 ,AE601 ,INTRO TO AEROSPACE ENGG. , AE ,S MITTAL,20,Click for details
2010-11 , 1 ,AE602 ,MATHEMATICS FOR AEROSPACE ENGG. , AE ,B ESHPUNIYANI,29,Click for details
2010-11 , 1 ,AE610 ,AERODYNAMICS-I , AE ,D DAS,21,Click for details
2010-11 , 2 ,AE612 ,AERODYNAMICS II , AE ,K PODDAR,17,Click for details
2010-11 , 2 ,AE615 ,ADVANCED COMPUTATIONAL METHODS IN CFD , AE ,T K SENGUPTA,11,Click for details
2010-11 , 2 ,AE618 ,FINITE ELEMENT METHODS FOR FLUID DYNAMICS , AE ,S MITTAL,28,Click for details
2010-11 , 2 ,AE621 ,TURBULENCE , AE ,D DAS,9,Click for details
2010-11 , 1 ,AE622 ,COMPUTATIONAL FLUID DYNAMICS , AE ,T K SENGUPTA,27,Click for details
2010-11 , 1 ,AE625 ,TRANSITION AND TURBULENCE , AE ,T K SENGUPTA,6,Click for details
2010-11 , 1 ,AE628 ,CONTINUUM HYPERSONIC AERODYNAMICS , AE ,COURSE DROP,0
2010-11 , 2 ,AE629 ,ADVANCES IN WIND ENERGY CONVERSION , AE ,KUNAL GHOSH,3,Click for details
2010-11 , 1 ,AE641 ,SPACE DYNAMICS-I , AE ,A TEWARI,39,Click for details
2010-11 , 3 ,AE646 ,CONTROL THEORY , AE ,A K GHOSH,3,Click for details
2010-11 , 1 ,AE647 ,FLIGHT DYNAMICS , AE ,A K GHOSH,17,Click for details
2010-11 , 2 ,AE648 ,FLIGHT STABILITY AND CONTROL , AE ,A K GHOSH,17,Click for details
2010-11 , 1 ,AE652 ,AIRCRAFT PROPULSION , AE ,K KUSHARI,4,Click for details
2010-11 , 2 ,AE653 ,THERMAL TURBOMACHINERY , AE ,R K SULLERY,26,Click for details
2010-11 , 1 ,AE670 ,AEROSPACE STRUCTURAL ANALYSIS - I , AE ,S MAHESH,10,Click for details
2010-11 , 2 ,AE675 ,INTRODUCTION TO FINITE ELEMENT METHODS , AE ,C S UPADHYAY,80,Click for details
2010-11 , 2 ,AE678 ,THEORY OF VIBRATIONS , AE ,C VENKATESAN,17,Click for details
2010-11 , 2 ,AE681 ,COMPOSITE MATERIALS , AE ,P M MOHITE,20,Click for details
2010-11 , 1 ,AE684 ,AIRCRAFT MATERIALS AND PROCESSES , AE ,S KAMLE,26,Click for details
2010-11 , 2 ,AE685 ,DETERMINISTIC & RANDOM VIBRATION , AE ,D YADAV,9,Click for details
2010-11 , 1 ,AE686 ,HELICOPTER THEORY : DYNAMICS AND AEROELASTICITY , AE ,C VENKATESAN,17,Click for details
2010-11 , 2 ,AE687 ,AEROSPACE STRUC ANALYSIS II , AE ,P M MOHITE,10,Click for details
2010-11 , 1 ,AE688 ,DYNAMICS AND VIBRATION , AE ,P MOHITE,10,Click for details
2010-11 , 1 ,AE698 ,INTRO TO VIRTUAL INSTRUMENTATION , AE ,K PODDAR,34,Click for details
2010-11 , 1 ,AE699 ,M TECH THESIS , AE ,CONVENER DPGC,41,Click for details
2010-11 , 2 ,AE699 ,M TECH THESIS , AE ,CONVENER DPGC,70,Click for details
2010-11 , 3 ,AE699 ,M TECH THESIS , AE ,CONVENER DPGC,25,Click for details
2010-11 , 1 ,AE699. ,M TECH THESIS (FOR DUAL DEGREE ONLY) , AE ,CONVENER DUGC,0
2010-11 , 2 ,AE699. ,M TECH THESIS (FOR DUAL DEGREE ONLY) , AE ,CONVENER DUGC,0
2010-11 , 3 ,AE699. ,M TECH THESIS (FOR DUAL DEGREE ONLY) , AE ,CONVENOR DUGC,0
